"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
USDSGD.FX,20251121,82757,1.30798,1.30798,1.3098,1.30664,1.30784,0,0,1.30784,0,0,-0.00014,-0.0001,0,0,0,0,0
EURJPY.FX,20251121,82757,181.5425,181.5425,181.6665,180.3,180.615,0,0,180.615,0,0,-0.9275,-0.0051,0,0,0,0,0
HKDSGD.FX,20251121,82442,0.168,0.1679,0.1682,0.1678,0.168,0,0,0.168,0,0,0,0,0,0,0,0,0
SGDJPY.FX,20251121,82757,120.491,120.491,120.55,119.657,119.898,0,0,119.898,0,0,-0.593,-0.0049,0,0,0,0,0
CHFGBP.FX,20251121,82755,0.9491,0.9496,0.95115,0.94695,0.9471,0,0,0.9471,0,0,-0.002,-0.0021,0,0,0,0,0
AUDJPY.FX,20251121,82757,101.473,101.473,101.665,100.6,101.068,0,0,101.068,0,0,-0.405,-0.004,0,0,0,0,0
LPR1Y.IR,20251120,90000,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0
LPR5Y.IR,20251120,90000,3.5,3.5,3.5,3.5,3.5,0,0,3.5,0,0,0,0,0,0,0,0,0
LIUSD12M.IR,20230630,0,5.96014,6.04143,6.04143,6.04143,6.04143,0,0,6.04143,0,0,0.08129,0.0136,0,0,0,0,0
LIUSD1M.IR,20240930,0,4.95858,4.96018,4.96018,4.96018,4.96018,0,0,4.96018,0,0,0.0016,0.0003,0,0,0,0,0
LIUSD1W.IR,20211231,0,0.07625,0.07638,0.07638,0.07638,0.07638,0,0,0.07638,0,0,0.00013,0.0017,0,0,0,0,0
LIUSD2M.IR,20211231,0,0.1545,0.1525,0.1525,0.1525,0.1525,0,0,0.1525,0,0,-0.002,-0.0129,0,0,0,0,0
LIUSD3M.IR,20240930,0,4.85496,4.85372,4.85372,4.85372,4.85372,0,0,4.85372,0,0,-0.00124,-0.0003,0,0,0,0,0
LIUSD6M.IR,20240930,0,4.69011,4.68213,4.68213,4.68213,4.68213,0,0,4.68213,0,0,-0.00798,-0.0017,0,0,0,0,0
LIUSDON.IR,20230630,0,5.05129,5.06157,5.06157,5.06157,5.06157,0,0,5.06157,0,0,0.01028,0.002,0,0,0,0,0
SHIBORON.IR,20251121,110000,1.364,0,0,0,1.32,0,0,1.32,0,0,-0.044,-0.0323,0,0,0,0,0
SHIBOR1W.IR,20251121,110000,1.46,0,0,0,1.417,0,0,1.417,0,0,-0.043,-0.0295,0,0,0,0,0
SHIBOR2W.IR,20251121,110000,1.546,0,0,0,1.522,0,0,1.522,0,0,-0.024,-0.0155,0,0,0,0,0
SHIBOR1M.IR,20251121,110000,1.518,0,0,0,1.519,0,0,1.519,0,0,0.001,0.0007,0,0,0,0,0
